team,name,jersey,position_tag,weight_lbs,class_year,snaps_multi_year,recruit_rating,recruit_stars,confidence
Air Force,Brandon Nazworth,73,LT,290,JR,27,80,3,confirmed
Air Force,Alec Falk,75,LG,315,SR,1052,,,confirmed
Air Force,Rudy Varela,51,C,295,SR,11,,,confirmed
Air Force,Jon Ashford,72,RG,320,JR,187,,,confirmed
Air Force,Luke Vonderhaar,55,RT,285,SR,334,,,confirmed
Akron,Carlos Slayden,71,LT,300,SR,86,,,confirmed
Akron,Brandon Smith,56,LG,310,JR,77,,,confirmed
Akron,Colin Lyons,72,C,295,GR,772,78,2,confirmed
Akron,Nate Hampton,52,RG,300,FR,116,,,confirmed
Akron,Allen Jones Jr.,50,RT,290,SR,440,,,confirmed
Alabama,Jackson Lloyd,77,LT,326,SO,185,96,4,confirmed
Alabama,William Sanders,70,LG,321,JR,293,89,3,confirmed
Alabama,Racin Delgatty,55,C,305,SR,144,82,3,confirmed
Alabama,Michael Carroll,64,RG,324,SO,622,98,5,confirmed
Alabama,Jayvin James,54,RT,317,SR,144,82,3,confirmed
Arizona,Matthew Lado,73,LT,320,SO,493,85,3,confirmed
Arizona,Rhino Tapa'atoutai,59,LG,320,JR,717,87,3,confirmed
Arizona,Zach Henning,,C,310,,,85,3,confirmed
Arizona,Alexander Doost,63,RG,335,JR,1000,85,3,confirmed
Arizona,Tristan Bounds,71,RT,320,GR,750,88,3,confirmed
Arizona State,Luke Baklenko,78,LT,305,SR,83,89,3,confirmed
Arizona State,Maki Stewart,59,LG,340,SO,370,87,3,confirmed
Arizona State,Tana Alo-Tupuola,58,C,335,JR,106,85,3,confirmed
Arizona State,Wade Helton,64,RG,310,SO,608,87,3,confirmed
Arizona State,Jalen Klemm,70,RT,300,SR,280,90,4,confirmed
Arkansas,Kavion Broussard,75,LT,312,JR,351,88,3,confirmed
Arkansas,Malachi Breland,71,LG,334,SR,170,85,3,confirmed
Arkansas,Caden Kitler,52,C,303,SR,883,82,3,confirmed
Arkansas,Kobe Branham,50,RG,336,JR,974,86,3,confirmed
Arkansas,Bryant Williams,64,RT,335,SR,160,83,3,confirmed
Arkansas State,Sterling Wiggins,72,LT,317,JR,115,,,confirmed
Arkansas State,Tristian Smith,68,LG,319,SR,968,,,confirmed
