rank,of,team,composite_0_100,avg_ol_weight,mass_pctile,returning_ol_snap_pct,experience_pctile,avg_ol_rating,recruiting_pctile,performance_score,performance_pctile,left_success_rate,middle_success_rate,right_success_rate
1,138,Georgia,90.22362544881788,321.0,86.84210526315789,47.8,74.81203007518798,92.0,98.7603305785124,2.001639344262295,98.18840579710145,0.5714285714285714,0.5454545454545454,0.6666666666666666
2,138,Tennessee,86.5216648340218,321.0,86.84210526315789,59.6,86.09022556390977,89.2,86.36363636363636,1.8042087542087542,86.59420289855072,0.5714285714285714,0.527027027027027,0.625
3,138,North Carolina,84.9445546132669,318.2,76.69172932330827,84.4,95.86466165413533,89.33333333333333,87.1900826446281,1.7870020964360587,84.42028985507247,0.6666666666666666,0.391304347826087,0.36363636363636365
4,138,Arizona,80.3786753084652,321.0,86.84210526315789,46.2,74.06015037593986,86.0,61.15702479338843,1.8718827620466965,90.94202898550725,0.5555555555555556,0.5161290322580645,0.5833333333333334
5,138,UCLA,77.9186417129781,323.8,92.85714285714286,13.4,22.93233082706767,,,2.031455399061033,99.6376811594203,0.6363636363636364,0.5806451612903226,0.7307692307692307
6,138,UAB,74.64347008826412,319.0,80.07518796992481,34.4,60.526315789473685,,,1.709692671394799,78.6231884057971,0.6,0.4339622641509434,0.5714285714285714
7,138,NC State,74.14447680465987,315.2,62.03007518796993,37.0,66.16541353383458,87.75,77.27272727272727,1.8127272727272727,89.4927536231884,0.8333333333333334,0.574468085106383,0.5
8,138,Mississippi State,73.58701055549403,324.0,94.73684210526316,14.6,27.81954887218045,87.4,73.55371900826447,1.774698795180723,82.97101449275362,0.7857142857142857,0.5517241379310345,0.625
9,138,Ole Miss,73.4088342487552,322.0,89.84962406015038,56.2,83.0827067669173,88.0,80.16528925619835,1.5333333333333332,46.01449275362319,0.6,0.5581395348837209,0.5555555555555556
10,138,Oregon,72.16809766060858,318.6,78.57142857142857,25.2,43.984962406015036,91.5,96.28099173553719,1.6320261437908499,68.47826086956522,0.5714285714285714,0.41379310344827586,0.2857142857142857
11,138,Southern Miss,71.35195325269696,320.8,84.21052631578948,14.4,25.93984962406015,,,1.8118589743589746,88.76811594202898,0.6666666666666666,0.5714285714285714,0.4444444444444444
12,138,USC,70.08921648353726,314.0,51.50375939849624,64.4,89.84962406015038,88.8,83.88429752066116,1.6202200416294976,66.30434782608695,0.68,0.5192307692307693,0.37142857142857144
13,138,Cincinnati,69.79875803414393,318.0,74.43609022556392,29.6,49.62406015037594,84.66666666666667,45.86776859504132,1.9545548654244307,94.56521739130434,0.7058823529411765,0.4339622641509434,0.6818181818181818
14,138,Virginia Tech,69.49662829369507,322.2,91.35338345864662,36.8,64.66165413533835,87.2,70.24793388429752,1.5504166666666668,50.36231884057971,0.45454545454545453,0.5925925925925926,0.38461538461538464
15,138,Nebraska,69.38548085989318,316.0,66.16541353383458,25.0,42.10526315789474,87.2,70.24793388429752,1.83896499238965,90.21739130434783,0.5217391304347826,0.5925925925925926,0.6521739130434783
16,138,Maryland,69.33701258175982,317.2,71.05263157894737,62.0,87.21804511278195,84.5,42.56198347107438,1.681390977443609,73.55072463768116,0.5625,0.5365853658536586,0.6111111111111112
17,138,Kansas,68.6037745279476,320.0,81.95488721804512,37.0,66.16541353383458,87.0,68.59504132231405,1.5705823293172692,56.88405797101449,0.631578947368421,0.425,0.391304347826087
18,138,Missouri,68.44645525059505,317.0,69.92481203007519,109.4,98.1203007518797,86.6,66.94214876033058,1.5472222222222223,48.18840579710145,0.1111111111111111,0.4888888888888889,0.45
